Tag,RankLast5Years,TotalRank,QuestionsSince2015,QuestionsTotal
"javascript","1","1","1067087","1792816"
"java","2","2","798440","1536073"
"python","3","6","787042","1149285"
"php","4","4","623266","1276074"
"android","5","5","619078","1186711"
"c#","6","3","591265","1302409"
"html","7","8","461797","816268"
"jquery","8","7","409469","950351"
"css","9","11","318747","581768"
"ios","10","10","313480","595679"
"c++","11","9","285424","613220"
"mysql","12","12","275153","556987"
"sql","13","13","237570","487309"
"swift","14","25","211525","226957"
"r","15","19","210566","284702"
"node.js","16","21","209527","270490"
"angularjs","17","24","192081","257698"
"arrays","18","17","178735","292916"
"json","19","22","164066","259679"
"angular","20","35","161988","161996"
