DisplayName,tagname,Score
"Jon Skeet","c#","228834"
"Jon Skeet","java","135462"
"Martijn Pieters","python","116981"
"Jon Skeet",".net","81655"
"unutbu","python","60664"
"Alex Martelli","python","58746"
"Felix Kling","javascript","39146"
"Sven Marnach","python","35476"
"Ignacio Vazquez-Abrams","python","35122"
"Greg Hewgill","git","34337"
"jezrael","pandas","31829"
"Jon Skeet","linq","31717"
"David Heffernan","delphi","29782"
"jezrael","python","29296"
"e-satis","python","28695"
"Mark Longair","git","26945"
"Daniel Roseman","django","25364"
"deceze","php","24032"
"Jon Skeet","string","24004"
"Jonathan Leffler","c","23521"
"Daniel Roseman","python","23104"
"abarnert","python","22160"
"jfs","python","21808"
"Wiktor Stribiżew","regex","21352"
"S.Lott","python","21256"
"alecxe","python","19538"
"Rob","ios","19417"
"Ned Batchelder","python","19401"
"bobince","javascript","19389"
"John La Rooy","python","19275"
"Jon Skeet","generics","19171"
"Greg Hewgill","python","18938"
"mgilson","python","18657"
"Aaron Hall","python","18590"
"falsetru","python","18350"
"DSM","python","18309"
"Joe Kington","python","17684"
"Ashwini Chaudhary","python","17546"
"SilentGhost","python","17478"
"unwind","c","17118"
"NPE","python","17005"
"Cristian","android","16686"
"Andy Hayden","python","16214"
"Martijn Pieters","python-3.x","15949"
"Andy Hayden","pandas","15917"
"Mark Byers","c#","15510"
"Jörg W Mittag","ruby","15490"
"paxdiablo","c","15406"
"Mark Byers","python","15220"
"Jon Skeet","date","15120"
"Amber","git","15065"
"BrenBarn","python","14744"
"EdChum","pandas","14695"
"nosklo","python","14668"
"EdChum","python","14313"
"Alasdair","django","14214"
"Paolo Bergantino","python","14209"
"zero323","apache-spark","14191"
"Rohit Jain","java","14175"
"Paolo Bergantino","javascript","13882"
"piRSquared","pandas","13841"
"Steve Jessop","c++","13830"
"unutbu","pandas","13696"
"bobince","html","13644"
"mipadi","git","13578"
"e-satis","iterator","13344"
"wim","python","13339"
"e-satis","generator","13336"
"e-satis","yield","13334"
"e-satis","coroutine","13334"
"Konrad Rudolph","c++","13258"
"piRSquared","python","12852"
"cs95","python","12852"
"Tim Pietzcker","regex","12821"
"Bryan Oakley","python","12812"
"codaddict","php","12792"
"Jon Skeet","timezone","12684"
"Raymond Hettinger","python","12426"
"chepner","bash","12401"
"NPE","java","12146"
"Blair Conrad","python","12128"
"Joe Kington","matplotlib","12116"
"Martijn Pieters","python-2.7","11791"
"eumiro","python","11783"
"sepp2k","ruby","11779"
"Rob","swift","11622"
"Jon Skeet","multithreading","11601"
"kindall","python","11590"
"Lasse Vågsæther Karlsen","c#","11567"
"Andrew Clark","python","11478"
"Harley Holcombe","python","11325"
"Andrew Hare","c#","11317"
"Felix Kling","jquery","11290"
"jezrael","dataframe","11279"
"agf","python","11114"
"Tom","java","10936"
"phihag","python","10866"
"codaddict","string","10851"
"Paolo Bergantino","jquery","10829"
"user2357112","python","10797"
"Fred Foo","python","10741"
"James","javascript","10563"
"Mark Byers","mysql","10104"
"unutbu","numpy","10026"
"Thomas Wouters","python","10025"
"Tim Pietzcker","python","9974"
"Padraic Cunningham","python","9959"
"poke","python","9952"
"Wen-Ben","pandas","9927"
"Jon Skeet","reflection","9807"
"georg","javascript","9796"
"Martijn Pieters","list","9765"
"Jonathan Leffler","bash","9755"
"Bryan Oakley","tkinter","9726"
"paxdiablo","c++","9626"
"Charles Duffy","bash","9594"
"Mark Ransom","c++","9532"
"ImportanceOfBeingErnest","matplotlib","9503"
"iCodez","python","9469"
"Greg Hewgill","version-control","9416"
"Greg Hewgill","c++","9339"
"Jon Clements","python","9274"
"MaxU","pandas","9271"
"Mark Byers","string","9184"
"Greg Hewgill","git-pull","9178"
"thefourtheye","python","9159"
"Alex","c#","9137"
"Jon Skeet","arrays","9133"
"Greg Hewgill","git-fetch","9115"
"Brian","python","9064"
"Amber","python","9060"
"DSM","pandas","9059"
"Brian R. Bondy","c++","9019"
"Lennart Regebro","python","8979"
"jamylak","python","8932"
"MaxU","python","8925"
"Wen-Ben","python","8923"
"mrry","tensorflow","8839"
"senderle","python","8831"
"Mark Longair","github","8808"
"jpp","python","8744"
"Blender","python","8732"
"Konrad Rudolph","c#","8611"
"Eli Courtwright","python","8584"
"ghostdog74","bash","8480"
"Jon Skeet","datetime","8460"
"e-satis","oop","8415"
"John Millikin","javascript","8399"
"Jon Skeet","visual-studio","8397"
"Rob","objective-c","8397"
"Barmar","javascript","8386"
"ImportanceOfBeingErnest","python","8385"
"Frédéric Hamidi","jquery","8330"
"Katriel","python","8241"
"bernie","python","8215"
"Thomas","java","8196"
"Felix Kling","python","8117"
"Aaron Maenpaa","string","8042"
"cs95","pandas","7996"
"Alex Martelli","list","7971"
"Jon Skeet","list","7929"
"Barmar","php","7928"
"zero323","apache-spark-sql","7924"
"Divakar","numpy","7834"
"Steven","c#","7793"
"Vinko Vrsalovic","python","7729"
"Jeff","python","7652"
"Divakar","python","7604"
"Alex Riley","python","7561"
"Avinash Raj","regex","7526"
"Triptych","javascript","7520"
"hpaulj","python","7476"
"Jon Skeet","xml","7459"
"Aaron Digulla","java","7451"
"Martijn Pieters","dictionary","7435"
"Mark Byers","java","7433"
"Eli Bendersky","python","7394"
"Alasdair","python","7384"
"Mark Byers","sql","7309"
"Jon Skeet","constructor","7302"
"Jeff","pandas","7219"
"David Heffernan","c++","7199"
"Levon","python","7194"
"Adam Rosenfield","c++","7171"
"Jon Skeet","asp.net","7165"
"Jochen Ritzel","python","7157"
"arshajii","java","7086"
"Yuji 'Tomita' Tomita","django","7045"
"kennytm","c++","7003"
"sykora","git","6990"
"Adam Rosenfield","c","6971"
"SingleNegationElimination","python","6928"
"sberry","python","6900"
"John Kugelman","bash","6895"
"Nadia Alramli","python","6886"
"Aaron Maenpaa","java","6853"
"Jim Fasarakis Hilliard","python","6819"
"paxdiablo","bash","6801"
"ThiefMaster","javascript","6687"
"RichieHindle","python","6687"
"Jon Skeet","performance","6571"
"Kevin","python","6566"
"Jon Skeet","types","6565"
"David Heffernan","c#","6543"
"Alex","javascript","6535"
"Alex","java","6480"
"Barmar","mysql","6444"
"Chris Pratt","django","6414"
"bobince","regex","6404"
"Burhan Khalid","python","6398"
"MSeifert","python","6394"
"kennytm","python","6360"
"Jon Skeet","lambda","6331"
"codaddict","string-matching","6314"
"Tom","arraylist","6304"
"codaddict","substring","6280"
"Jon Skeet","collections","6278"
"Brian","c++","6254"
"Andy Hayden","dataframe","6234"
"Mark Harrison","database","6226"
"e-satis","metaclass","6206"
"e-satis","python-datamodel","6206"
"Vinko Vrsalovic","operators","6205"
"thefourtheye","javascript","6190"
"Mark Harrison","sql","6185"
"Michael Mrozek","string","6175"
"Triptych","python","6151"
"hpaulj","numpy","6141"
"Paolo Bergantino","string","6131"
"Adam Rosenfield","python","6129"
"Óscar López","java","6127"
"Simeon Visser","python","6122"
"ars","python","6110"
"codaddict","contains","6096"
"Vinko Vrsalovic","ternary-operator","6094"
"Vinko Vrsalovic","conditional-operator","6094"
"Vinko Vrsalovic","python-2.5","6094"
"James","jquery","6056"
"Rob","c++","6033"
"Chris","c#","6017"
"Ignacio Vazquez-Abrams","django","6002"
"Mark Byers","regex","5961"
"Gareth Latty","python","5933"
"David Heffernan","winapi","5908"
"Felix Kling","ajax","5873"
"unwind","c++","5852"
"Chris","javascript","5830"
"Kasrâmvd","python","5823"
"Felix Kling","asynchronous","5815"
"Jon Skeet","static","5811"
"Ignacio Vazquez-Abrams","bash","5808"
"zero323","python","5799"
"Brian","f#","5798"
"chepner","python","5790"
"Mark Harrison","outer-join","5768"
"Mark Harrison","join","5768"
"Mark Harrison","inner-join","5768"
"Mark Rushakoff","python","5767"
"Felix Kling","php","5742"
"Jon Skeet","c#-4.0","5738"
"Michael Mrozek","python","5732"
"zero323","pyspark","5725"
"Mark Tolonen","python","5722"
"ThiefMaster","python","5720"
"ecatmur","c++","5715"
"Patrick","python","5714"
"Martijn Pieters","string","5696"
"Joran Beasley","python","5694"
"unutbu","matplotlib","5691"
"Mr Fooz","python","5671"
"Ry-","javascript","5652"
"Greg Hewgill","git-checkout","5636"
"Michael Mrozek","substring","5628"
"Ignacio Vazquez-Abrams","string","5614"
"jonrsharpe","python","5614"
"Devin Jeanpierre","python","5596"
"John Machin","python","5585"
"Daniel","python","5571"
"codaddict","regex","5558"
"bobince","css","5553"
"Mureinik","java","5550"
"Stefan","ruby","5539"
"Mike Hordecki","python","5529"
"John Feminella","bash","5523"
"joris","python","5498"
"unutbu","dataframe","5459"
"kennytm","objective-c","5457"
"Jonathan Leffler","shell","5447"
"Ben","javascript","5419"
"martineau","python","5398"
"kennytm","iphone","5396"
"codaddict","bash","5389"
"sykora","branching-and-merging","5386"
"sykora","git-branch","5386"
"codaddict","shell","5381"
"Michael Mrozek","contains","5373"
"kender","python","5371"
"zero323","scala","5367"
"Rob","c#","5362"
"Jean-François Fabre","python","5352"
"Jason Baker","python","5319"
"NPE","c++","5318"
"Aaron Maenpaa","equality","5312"
"HYRY","python","5311"
"Rob","python","5308"
"Mr Fooz","namespaces","5306"
"Mr Fooz","python-module","5304"
"Mr Fooz","main","5304"
"Mr Fooz","idioms","5304"
"Patrick","list","5300"
"James","c#","5300"
"tzot","python","5299"
"Wes McKinney","pandas","5293"
"gahooa","git","5283"
"Chris","java","5279"
"miku","python","5279"
"alecxe","selenium","5276"
"Alex","php","5273"
"Jonathan Leffler","unix","5271"
"Mark","javascript","5264"
"joris","pandas","5252"
"Eric","android","5251"
"Jon Skeet","delegates","5245"
"Mike Hordecki","loops","5241"
"Mike Hordecki","list","5240"
"Wes McKinney","python","5233"
"Dave Webb","android","5225"
"Mark Ransom","python","5221"
"Jeff","javascript","5210"
"David Z","python","5203"
"Felix Kling","xmlhttprequest","5195"
"Felix Kling","event-loop","5191"
"Nick Johnson","google-app-engine","5186"
"Jon Skeet","vb.net","5179"
"Barmar","jquery","5130"
"Brian R. Bondy","http","5123"
"davidism","python","5119"
"Bakuriu","python","5115"
"rslite","python","5112"
"rayryeng","matlab","5102"
"ghostdog74","python","5096"
"Lasse Vågsæther Karlsen",".net","5088"
"sth","c++","5065"
"rslite","file","5060"
"Jon Skeet","casting","5056"
"Warren Weckesser","python","5052"
"Jonathan Leffler","c++","5005"
"mrry","python","5003"
"Joe Kington","numpy","4999"
"Jonathan Leffler","linux","4998"
"Ben","python","4998"
"bobince","xhtml","4992"
"Thomas M. DuBuisson","haskell","4991"
"dbr","python","4991"
"Steve Jessop","c","4981"
"Dave Webb","python","4971"
"Psidom","python","4970"
"codeape","javascript","4967"
"Steven","dependency-injection","4964"
"joaquin","python","4964"
"root","python","4958"
"chepner","shell","4955"
"codeape","arrays","4948"
"Mike Graham","python","4946"
"Jon Skeet","dictionary","4941"
"Paul","python","4928"
"Aaron Hall","dictionary","4927"
"Anand S Kumar","python","4914"
"David Heffernan","c","4908"
"Alexander","python","4896"
"Jon Skeet","char","4893"
"dano","python","4877"
"Ned Deily","python","4877"
"ChristopheD","python","4871"
"Ignacio Vazquez-Abrams","php","4868"
"Greg Hewgill","list","4862"
"jpp","pandas","4856"
"Willem Van Onsem","python","4856"
"Duncan","python","4834"
"Greg Hewgill","c","4830"
"ThiefMaster","php","4815"
"Sean Vieira","python","4802"
"Charles Duffy","shell","4797"
"Blair Conrad","directory","4795"
"Eric","sql","4793"
"David Cournapeau","python","4780"
"kev","bash","4778"
"Cristian","java","4773"
"sberry","python-2.7","4767"
"Andrew Hare",".net","4765"
"SilentGhost","string","4762"
"sberry","dictionary","4744"
"Georg Schölly","objective-c","4740"
"Ashwini Chaudhary","list","4734"
"Martijn Pieters","flask","4725"
"Ignacio Vazquez-Abrams","linux","4724"
"Kevin","java","4709"
"user225312","python","4701"
"piRSquared","dataframe","4700"
"Jon Skeet","enums","4699"
"Chris Jester-Young","java","4697"
"Tom","arrays","4693"
"Martijn Pieters","python-internals","4689"
"Jon Skeet","inheritance","4667"
"deceze","javascript","4657"
"Mark Byers",".net","4656"
"Alex","jquery","4654"
"Moses Koledoye","python","4652"
"kender","data-structures","4651"
"kender","list","4651"
"kender","extend","4651"
"kender","append","4651"
"Keith","c#","4650"
"David Heffernan","windows","4643"
"vartec","python","4632"
"Maroun","java","4630"
"Alex","python","4623"
"Brian R. Bondy","post","4621"
"Jim Fasarakis Hilliard","python-3.x","4618"
"Jeremy","javascript","4614"
"Mureinik","sql","4601"
"Andy","javascript","4581"
"Brian R. Bondy","put","4570"
"Óscar López","python","4555"
"rslite","file-exists","4544"
"Mark Byers","php","4539"
"Jarret Hardie","python","4521"
"Daniel Roseman","django-models","4506"
"unwind","python","4506"
"Eric O Lebigot","python","4496"
"Dietrich Epp","c","4486"
"ekhumoro","python","4484"
"Blckknght","python","4474"
"codeape","python","4473"
"Martin Geisler","mercurial","4471"
"nneonneo","python","4471"
"Andrew Hare","javascript","4470"
"MaxU","dataframe","4450"
"Vinay Sajip","python","4440"
"Frédéric Hamidi","javascript","4433"
"Brian R. Bondy","language-agnostic","4418"
"Jon Skeet","algorithm","4390"
"NPE","c","4388"
"Brian R. Bondy","rest","4384"
"James","r","4381"
"Chris","python","4376"
"Jon Skeet",".net-3.5","4373"
"Alex Coventry","python","4368"
"Felix Kling","ecmascript-6","4366"
"Eric","sql-server","4360"
"sepp2k","haskell","4357"
"Martijn Pieters","json","4356"
"Blair Conrad","exception","4352"
"tacaswell","matplotlib","4350"
"Mark","java","4346"
"Dan Lenski","python","4341"
"Aaron Hall","merge","4340"
"Felix Kling","arrays","4336"
"Blair Conrad","path","4335"
"georg","arrays","4333"
"Blair Conrad","operating-system","4325"
"aaronasterling","python","4324"
"Greg Hewgill","vim","4323"
"Chris","css","4317"
"Tom","type-conversion","4317"
"gimel","python","4305"
"Jon Skeet","security","4299"
"Antti Haapala","python","4298"
"Petr Viktorin","python","4287"
"mhawke","python","4286"
"dF.","python","4282"
"EdChum","dataframe","4268"
"Chris B.","python","4268"
"timgeb","python","4265"
